recipe_name,ingredients,directions
"Vegetable Pasta Salad","2 tablespoons tomato paste, 1 teaspoon Italian seasoning, 1 teaspoon kosher salt, plus more for the pasta water, 1/2 teaspoon freshly ground black pepper, 1/4 teaspoon crushed red pepper flakes, 3 cloves garlic (grated), 1/2 cup extra-virgin olive oil, 1 cup small-dice butternut squash, 1 head broccoli (cut into small florets), 1 red onion (diced small), 1 red bell pepper (diced small), 1 medium zucchini  (diced small), 12 ounces short pasta (penne, rotini or any similar), 2 tablespoons chopped fresh parsley, 12 fresh basil leaves (torn), 3/4 cup grated Parmesan, 1/2 cup cooked lentils (optional)","1. Preheat the oven to 425 degrees F. Line a baking sheet with parchment paper. 2. In a large mixing bowl, whisk together the tomato paste, Italian seasoning, salt, pepper, pepper flakes, garlic and 1/4 cup olive oil. Add the butternut squash, broccoli, onion, bell pepper and zucchini. Toss to coat the vegetables with the tomato paste mixture. Reserve the bowl, unwashed, for later use. 3. Spread in a single layer on the prepared baking sheet. Bake until softened and browned, 40 to 45 minutes. 4. While the vegetables are cooking, bring a medium pot of heavily salted water to a boil. Cook the pasta according to package directions until al dente. 5. Into the reserved large bowl, add the roasted vegetables and pasta, parsley, basil, remaining 1/4 cup oil, cheese, and the lentils, if using. Mix well. Serve warm."
"Vedura Pizza","Cooking spray, 1 (13.8-ounce) package refrigerator pizza crust dough (recommended: Pillsbury), 1/2 cup pasta sauce, 1 teaspoon garlic powder, 1 1/2 teaspoons dried oregano, 2 teaspoons olive oil, 1 (5.5-ounce) package, crumbled goat cheese, 1 1/2 cups baby spinach (washed), 1 (6-ounce) jar artichoke hearts, quartered in marinade, marinade, reserved (recommended: Progresso), 3/4 cup roasted red bell peppers, cut into 1/2-inch strips, 2 tablespoons sliced ripe olives","1. Preheat oven to 450 degrees F. 2. Lightly spray the backside of a baking sheet with cooking spray. Unroll the pizza dough onto the sheet pan. 3. In a medium bowl, stir together pasta sauce, garlic powder, and oregano. Use a pastry brush to brush the top of the dough with olive oil. Spread the sauce over pizza dough leaving a 1/2-inch border. Top with goat cheese. Bake for 12 to 17 minutes. 4. In a large bowl combine the spinach with 2 tablespoons reserved artichoke marinade, artichoke hearts, red bell pepper strips, and olives. Toss together. 5. Remove pizza from the oven and top with veggies. Slice and serve."
"Barbecue Mushroom Pizza","1/4 cup apple cider vinegar, 1 teaspoon sugar, Kosher salt , 1/4 small red onion, thinly sliced, 6 tablespoons extra-virgin olive oil, 3/4 pound oyster mushrooms, torn into thin strips, Freshly ground pepper, 3 cloves garlic, finely chopped, 1/3 cup plus 1/4 cup barbecue sauce, 1 15- to 16-ounce ball pizza dough, 4 ounces smoked gouda cheese, shredded (about 1 1/3 cups), 2 ounces Monterey Jack cheese, shredded (about 1/2 cup), 1 scallion, thinly sliced, 2 tablespoons chopped fresh cilantro","1. Place a pizza stone or inverted baking sheet on the middle oven rack and preheat to 450˚ F. Whisk the vinegar, sugar and a pinch of salt in a small bowl, then add the sliced red onion and submerge in the vinegar; set aside to pickle. 2. Heat 3 tablespoons olive oil in a large nonstick skillet over medium-high heat. Add the mushrooms, season with salt and pepper and cook, undisturbed, until golden brown on the bottom, 5 minutes. Stir and continue to cook, stirring occasionally, until crisp in spots and golden brown, 5 more minutes. Add the garlic and cook, stirring, 1 minute. Add 1/3 cup barbecue sauce and 2 tablespoons water and cook, stirring, until most of the liquid is absorbed and the mushrooms are glazed, 2 to 3 minutes. Remove from the heat.  3. Coat a baking sheet with the remaining 3 tablespoons olive oil. Add the pizza dough and stretch into an 11-by-13-inch oval. Top with the remaining 1/4 cup barbecue sauce and spread using the back of a spoon, leaving a 1/2-inch border. Sprinkle with the gouda, then top with the mushrooms, then the Monterey Jack. Put the baking sheet directly on the hot pizza stone or inverted baking sheet. Bake until the crust is golden brown on the bottom and around the edges, 15 to 20 minutes. 4. Slide the pizza onto a large cutting board. Drain the red onion and scatter over the pizza, along with the scallion and cilantro. Cut into pieces."
"Cauliflower Pizza Crust","1 head cauliflower, stalk removed, 1/2 cup shredded mozzarella, 1/4 cup grated Parmesan, 1/2 teaspoon dried oregano , 1/2 teaspoon kosher salt , 1/4 teaspoon garlic powder, 2 eggs, lightly beaten","1. Preheat the oven to 400 degrees F. Line a baking sheet with parchment paper. 2. Break the cauliflower into florets and pulse in a food processor until fine. Steam in a steamer basket and drain well. (I like to put it on a towel to get all the moisture out.) Let cool. 3. In a bowl, combine the cauliflower with the mozzarella, Parmesan, oregano, salt, garlic powder and eggs. Transfer to the center of the baking sheet and spread into a circle, resembling a pizza crust. Bake for 20 minutes. 4. Add desired toppings and bake an additional 10 minutes."
"Avocado Alfredo","Kosher salt, 1 pound fettuccine, 2 ripe avocados, peeled and pitted, 2 cups heavy cream, 2 cloves garlic, roughly chopped, 1/2 cup finely grated pecorino (about 2 ounces), plus more for serving, Freshly ground black pepper, Finely grated lemon zest, for serving, Thinly sliced fresh basil leaves, for serving","1. Bring a large pot of water to a boil over medium-high heat and season generously with salt. Add the fettuccine and cook, stirring occasionally, until the pasta is barely tender, about 12 minutes. Reserve 1/4 cup of pasta water, then drain the pasta well and reserve the pot. 2. Meanwhile, combine the avocado, cream, garlic, 1/2 cup pecorino, 2 teaspoons salt and several grinds of pepper in a blender and blend until very smooth, scraping down the sides of the carafe with a rubber spatula as needed. 3. Pour the avocado sauce into the pot the pasta cooked in and place over medium heat. Cook, stirring constantly, until the sauce is warmed through and just simmering, about 5 minutes. Add the pasta and reserved pasta water and toss to coat. Taste and adjust seasoning with more salt and pepper if needed. 4. Transfer the pasta to a large serving bowl. Top with the lemon zest, basil and a sprinkle of pecorino. Serve immediately."
"Beans Bourguignon","1 ounce dried porcini mushrooms, 1 1/2 cups boiling water, 1/4 cup plus 1 tablespoon olive oil, 1 pound cremini mushrooms, quartered, Kosher salt and freshly ground black pepper, 3 small carrots (about 5 ounces), sliced 1/8 inch thick, 1 medium onion (about 10 ounces), chopped, 2 tablespoons tomato paste, 2 tablespoons fresh thyme leaves, chopped, 1 teaspoon fresh oregano leaves, chopped, 2 cloves garlic, thinly sliced, 1 1/2 cups vegan dry red wine, such as cabernet sauvignon, 8 ounces frozen pearl onions (about 2 cups), Two 15-ounce cans cannellini beans, drained and rinsed, 1 cup fresh flat-leaf parsley leaves, finely chopped, plus more for garnish, optional, 12 ounces cavatappi pasta","1. Place the porcini mushrooms in a medium heat-safe bowl. Pour the boiling water over top and let the porcini soak until the liquid is a very dark brown, about 20 minutes. Strain the liquid into a small liquid measuring cup (you should have about 3/4 cup), then chop the porcini and set aside. 2. Meanwhile, heat 2 tablespoons of the olive oil in a large heavy-bottomed pot over medium-high heat until shimmering. Add the cremini mushrooms, 1 teaspoon salt and a generous amount of black pepper and stir so the cremini are in an even layer. Let the cremini cook, untouched, until starting to caramelize, about 3 minutes. Stir the cremini a few times and then continue to cook, untouched, until golden brown, about 3 minutes more. Transfer to a medium bowl with a slotted spoon and return the pot to the burner. 3. Add another 2 tablespoons of the olive oil to the pot along with the carrots, onion, 1/2 teaspoon salt and a few grinds of black pepper. Cook, stirring occasionally, until the vegetables are softened, 4 to 5 minutes. Stir in the tomato paste, thyme, oregano, garlic and reserved porcini and cook, stirring frequently, until the tomato paste is toasted and turns a deep maroon color, 2 to 3 minutes. 4. Stir in the wine, bring to a simmer and cook until reduced by half, 3 to 4 minutes. Fold in the pearl onions, cannellini, cremini, reserved porcini water, 1 teaspoon salt and a few grinds of black pepper and bring to a simmer. Cook, stirring occasionally, until the sauce is thick enough to coat the back of the spoon and the mushrooms are very soft, 8 to 10 minutes. Fold in 1/2 cup of the parsley. 5. Meanwhile, bring a large pot of salted water to a boil. Cook the pasta until al dente according to package directions. Drain the pasta and add it back to the pot. Stir in the remaining 1 tablespoon olive oil and 1/2 cup parsley, 1 teaspoon salt and a few grinds of black pepper. Serve the beans bourguignon on top of the herbed pasta and garnish with more parsley if desired."
"Jamaican Rasta Pasta"," Kosher salt, 2 cups dried penne (about 8 ounces), 2 tablespoons plus 1/2 teaspoon vegetable oil or olive oil, 1 small onion, sliced, 2 cloves garlic, minced, 1 cup sliced red bell pepper, 1 cup sliced yellow bell pepper, 1 cup sliced green bell pepper, 2 scallions, sliced, 1 habanero or Scotch bonnet pepper, diced, optional, 1 teaspoon ground allspice, 1 teaspoon fresh thyme, 1 cup half-and-half, 1/2 cup shredded whole-milk mozzarella","1. Bring 4 cups water to a boil in a medium pot and season generously with salt. Add the pasta to the pot, give it a stir and cook until al dente according to the package instructions. Drain the pasta, then rinse with cold water to stop the cooking. Add 1/2 teaspoon of the oil and stir to prevent the pasta from sticking. 2. Heat the remaining 2 tablespoons oil in a large pan over medium heat for about 1 minute. Add the onion and a pinch of salt and cook until the onion is slightly translucent, about 2 minutes. Add the garlic and cook for 30 seconds, then add the red, yellow and green bell peppers and cook until the peppers are slightly tender, about 2 minutes. Stir in the pasta, then the scallions and habanero pepper, if using; cook for another minute. 3. Reduce the heat to medium low, stir in the allspice and thyme and cook until the flavors bloom, about 2 minutes. Add the half-and-half and bring to a slow simmer. Add the mozzarella and continue to cook, stirring, until a creamy cheese sauce forms, about 2 minutes. Remove from the heat. Taste and add salt if needed."
"Vegan Tostadas","1 cup raw walnuts, 1 cup canned black beans, rinsed and drained, 2 tablespoons extra-virgin olive oil, 1/2 medium yellow onion, diced, 1 garlic clove, minced, 1 cup canned diced tomatoes with juices, 1 tablespoon ground cumin, 1 tablespoon dried oregano, 1/2 teaspoon cayenne pepper (optional), Kosher salt and freshly ground black pepper, 6 organic corn tortillas, 1 cup vegan shredded cheese (optional; see Cook's Note)","1. Place the walnuts in a large skillet and cook over high heat, stirring occasionally, until toasted, about 3 minutes. Transfer the nuts to a food processor and reserve the skillet. Add the beans to the food processor and pulse with the nuts until the mixture is fully incorporated but not mushy. Set aside. 2. Heat 1 tablespoon of the oil in the same skillet over medium heat. Add the onions and garlic and cook, stirring, until the onions are softened, 2 to 3 minutes. 3. Add the bean mixture, tomatoes, cumin, oregano and cayenne, and stir to incorporate. Cook until the mixture is heated through, about 5 minutes. 4. Meanwhile, brush both sides of each of the corn tortillas with the remaining oil. Place on a baking sheet and bake until crispy, flipping halfway through, about 6 minutes total. 5. Remove the tostadas from the oven and top with the bean mixture, then the shredded cheese. Bake until the cheese is melted, about 5 minutes. 6. Add your desired toppings and enjoy!"
"Vegan Tuna Noodle Casserole","Kosher salt and freshly ground black pepper, 1 pound medium pasta shells (see Cook's Note), 1/4 cup olive oil, 1 pound cremini mushrooms, thinly sliced, 1 tablespoon fresh thyme leaves, chopped, 2 cloves garlic, minced, 1 large onion, chopped, 2 cups vegetable stock, 1/4 cup all-purpose flour, 1 cup cashew milk, 1/3 cup vegan cream cheese, 2 tablespoons vegan soy sauce, One 15-ounce can garbanzo beans, drained and rinsed, One 12-ounce block extra-firm tofu, pressed and crumbled, 1 cup frozen peas, 30 vegan butter crackers, such as Ritz (from 1 sleeve), crushed (about 1 1/2 cups), 1 cup fresh flat-leaf parsley, chopped, Hot sauce, for serving, optional","1. Preheat the oven to 350 degrees F. 2. Bring a large pot of salted water to a boil and cook the pasta until not quite al dente, 6 to 7 minutes. Drain and add back into the pot, then toss with 1 tablespoon of the olive oil; set aside. 3. Meanwhile, heat the remaining 3 tablespoons olive oil in a large skillet over medium-high heat. Add the mushrooms, 1 1/2 teaspoons salt and a generous amount of pepper and cook, stirring occasionally, until almost all of the excess moisture has cooked off and the mushrooms start to turn golden brown, 6 to 7 minutes. Add the thyme, garlic and onions and continue to cook, stirring, until the onions begin to soften, about 2 minutes. 4. Pour 1/4 cup of the vegetable stock into the skillet and use a wooden spoon to scrape up any browned bits from the bottom. Simmer until the broth is reduced completely, about 3 minutes. 5. Sprinkle the flour over the vegetables and cook, stirring, until completely absorbed. Add the cashew milk, remaining 1 3/4 cups vegetable stock, 1 teaspoon salt and a generous amount of pepper and cook, stirring, until thickened, 3 to 4 minutes. Stir in the cream cheese and soy sauce until smooth. Taste and adjust the seasoning with salt and pepper. 6. Add the garbanzo beans, tofu, peas and the mushroom sauce to the pot with the pasta and fold until well combined. Transfer the mixture to a 9-by-13-inch baking dish and sprinkle the crushed crackers on top. Bake until the casserole is warmed through and bubbling around the edges and the crackers start to turn golden brown, about 20 minutes. Let sit for 5 minutes, then sprinkle with the parsley. Serve with hot sauce on the side, if desired."
"Mushroom Mapo Tofu","2 ounces dried shiitake mushrooms, washed (or 10 ounces creminis or fresh shiitake mushrooms; see Cook's Note), 1 tablespoon cornstarch, 4 tablespoons vegetable oil, 1 tablespoon minced ginger, 1 tablespoon douchi (fermented black beans), chopped, 1 tablespoon plus 1 1/2 teaspoons doubanjiang (spicy bean paste), 1 teaspoon Sichuan peppercorn powder, plus more for garnish, 3 cloves garlic, minced, 1 dried chile, such as Thai bird chile, chopped, optional (See Cook’s Note), One 16-ounce block soft tofu, cut into 1-inch cubes, 1 tablespoon soy sauce, 1/2 teaspoon sugar, 2 scallions, thinly sliced on a diagonal, 1/2 teaspoon toasted sesame oil","1. Put 2 cups cold water and the dried shiitake mushrooms in a small pot and bring to a boil. Turn off the heat and let sit to rehydrate for 30 minutes. 2. Squeeze excess water from the mushrooms, cut off and discard the stems and finely chop the mushrooms. Measure the mushroom-soaking liquid and add enough cold water to come to 1 1/2 cups. 3. Mix the cornstarch and 2 tablespoons cold water in a small bowl until combined; set aside. 4. Heat 2 tablespoons of the vegetable oil in a wok or large high-sided skillet over medium-high heat until it starts to smoke. Add the shiitakes and cook until browned, about 4 minutes. Lower the heat to medium, add the remaining 2 tablespoons vegetable oil, the ginger, douchi, doubanjiang, Sichuan peppercorn powder, garlic and dried chile, if using, and cook until everything is bright red, about 1 minute. 5. Add the mushroom-soaking liquid to the wok, scraping any brown bits off the bottom. Gently stir in the tofu and bring to a boil. Add the soy sauce and sugar, then stir in the cornstarch slurry and half of the scallions. Bring to a simmer and simmer until the sauce is glossy, about 1 minute. 6. Transfer to a serving dish, sprinkle with the remaining scallions and more Sichuan peppercorn powder if desired and drizzle the toasted sesame oil on top."
"Vegan Picadillo","2 tablespoons olive oil, 1/2 yellow onion, diced, 1/2 green bell pepper, diced, Kosher salt and freshly ground black pepper, 3 cloves garlic, minced, 2 teaspoons ground cumin, 1 teaspoon dried oregano, 24 ounces plant-based ground meat, 1 tablespoon tomato paste, 1/2 cup vegan-friendly vino seco or sherry cooking wine (see Cook's Note), One 15-ounce can tomato sauce, 1 bay leaf, 1/4 cup pimiento-stuffed olives, halved crosswise, Juice of 1 lime, Cooked white rice, for serving","1. Heat a medium skillet over medium-high heat. Add the oil, onion and bell pepper. Season with 1 teaspoon salt and a few cracks of black pepper. Cook, stirring occasionally, until the vegetables soften, 4 to 5 minutes. Add the garlic, cumin and oregano and stir until fragrant, about 30 seconds. Add the plant-based meat and cook until no longer pink, 5 to 6 minutes. 2. Stir in the tomato paste. Add the vino seco and scrape up any browned bits from the bottom of the skillet with a wooden spoon. Stir in 1 cup water, the tomato sauce and bay leaf. Simmer, stirring occasionally, until the tomato sauce thickens and turns a deep red color, 10 to 15 minutes. 3. Stir in the olives and lime juice. Discard the bay leaf. Serve the picadillo with the rice. "
